hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat,generation,avg_power
20,25,45,70,90,60,Psychic,Fairy,Mime-Jr,310,4,47
100,5,5,15,65,30,Normal,N/A,Happiny,220,4,10
76,65,45,92,42,91,Normal,Flying,Chatot,411,4,78
50,92,108,92,108,35,Ghost,Dark,Spiritomb,485,4,92
58,70,45,40,45,42,Dragon,Ground,Gible,300,4,55
68,90,65,50,55,82,Dragon,Ground,Gabite,410,4,70
108,130,95,80,85,102,Dragon,Ground,Garchomp,600,4,105
135,85,40,40,85,5,Normal,N/A,Munchlax,390,4,62
40,70,40,35,40,60,Fighting,N/A,Riolu,285,4,52
70,110,70,115,70,90,Fighting,Steel,Lucario,525,4,112
68,72,78,38,42,32,Ground,N/A,Hippopotas,330,4,55
108,112,118,68,72,47,Ground,N/A,Hippowdon,525,4,90
40,50,90,30,55,65,Poison,Bug,Skorupi,330,4,40
70,90,110,60,75,95,Poison,Dark,Drapion,500,4,75
48,61,40,61,40,50,Poison,Fighting,Croagunk,300,4,61
83,106,65,86,65,85,Poison,Fighting,Toxicroak,490,4,96
74,100,72,90,72,46,Grass,N/A,Carnivine,454,4,95
49,49,56,49,61,66,Water,N/A,Finneon,330,4,49
69,69,76,69,86,91,Water,N/A,Lumineon,460,4,69
45,20,50,60,120,50,Water,Flying,Mantyke,345,4,40
60,62,50,62,60,40,Grass,Ice,Snover,334,4,62
90,92,75,92,85,60,Grass,Ice,Abomasnow,494,4,92
70,120,65,45,85,125,Dark,Ice,Weavile,510,4,82
70,70,115,130,90,60,Electric,Steel,Magnezone,535,4,100
110,85,95,80,95,50,Normal,N/A,Lickilicky,515,4,82
115,140,130,55,55,40,Ground,Rock,Rhyperior,535,4,97
100,100,125,110,50,50,Grass,N/A,Tangrowth,535,4,105
75,123,67,95,85,95,Electric,N/A,Electivire,540,4,109
75,95,67,125,95,83,Fire,N/A,Magmortar,540,4,110
85,50,95,120,115,80,Fairy,Flying,Togekiss,545,4,85
86,76,86,116,56,95,Bug,Flying,Yanmega,515,4,96
65,110,130,60,65,95,Grass,N/A,Leafeon,525,4,85
65,60,110,130,95,65,Ice,N/A,Glaceon,525,4,95
75,95,125,45,75,95,Ground,Flying,Gliscor,510,4,70
110,130,80,70,60,80,Ice,Ground,Mamoswine,530,4,100
85,80,70,135,75,90,Normal,N/A,Porygon-Z,535,4,107
68,125,65,65,115,80,Psychic,Fighting,Gallade,518,4,95
60,55,145,75,150,40,Rock,Steel,Probopass,525,4,65
45,100,135,65,135,45,Ghost,N/A,Dusknoir,525,4,82
70,80,70,80,70,110,Ice,Ghost,Froslass,480,4,80
50,50,77,95,77,91,Electric,Ghost,Rotom,440,4,72
75,75,130,75,130,95,Psychic,N/A,Uxie,580,4,75
80,105,105,105,105,80,Psychic,N/A,Mesprit,580,4,105
75,125,70,125,70,115,Psychic,N/A,Azelf,580,4,125
100,120,120,150,100,90,Steel,Dragon,Dialga,680,4,135
90,120,100,150,120,100,Water,Dragon,Palkia,680,4,135
91,90,106,130,106,77,Fire,Steel,Heatran,600,4,110
110,160,110,80,110,100,Normal,N/A,Regigigas,670,4,120
150,100,120,100,120,90,Ghost,Dragon,Giratina-Altered,680,4,100
120,70,120,75,130,85,Psychic,N/A,Cresselia,600,4,72
80,80,80,80,80,80,Water,N/A,Phione,480,4,80
100,100,100,100,100,100,Water,N/A,Manaphy,600,4,100
70,90,90,135,90,125,Dark,N/A,Darkrai,600,4,112
100,100,100,100,100,100,Grass,N/A,Shaymin-Land,600,4,100
120,120,120,120,120,120,Normal,N/A,Arceus,720,4,120
100,100,100,100,100,100,Psychic,Fire,Victini,600,5,100
45,45,55,45,55,63,Grass,N/A,Snivy,308,5,45
60,60,75,60,75,83,Grass,N/A,Servine,413,5,60
75,75,95,75,95,113,Grass,N/A,Serperior,528,5,75
65,63,45,45,45,45,Fire,N/A,Tepig,308,5,54
90,93,55,70,55,55,Fire,Fighting,Pignite,418,5,81
110,123,65,100,65,65,Fire,Fighting,Emboar,528,5,111
55,55,45,63,45,45,Water,N/A,Oshawott,308,5,59
75,75,60,83,60,60,Water,N/A,Dewott,413,5,79
95,100,85,108,70,70,Water,N/A,Samurott,528,5,104
45,55,39,35,39,42,Normal,N/A,Patrat,255,5,45
60,85,69,60,69,77,Normal,N/A,Watchog,420,5,72
45,60,45,25,45,55,Normal,N/A,Lillipup,275,5,42
65,80,65,35,65,60,Normal,N/A,Herdier,370,5,57
85,110,90,45,90,80,Normal,N/A,Stoutland,500,5,77
41,50,37,50,37,66,Dark,N/A,Purrloin,281,5,50
64,88,50,88,50,106,Dark,N/A,Liepard,446,5,88
50,53,48,53,48,64,Grass,N/A,Pansage,316,5,53
75,98,63,98,63,101,Grass,N/A,Simisage,498,5,98
50,53,48,53,48,64,Fire,N/A,Pansear,316,5,53
75,98,63,98,63,101,Fire,N/A,Simisear,498,5,98
50,53,48,53,48,64,Water,N/A,Panpour,316,5,53
75,98,63,98,63,101,Water,N/A,Simipour,498,5,98
76,25,45,67,55,24,Psychic,N/A,Munna,292,5,46
116,55,85,107,95,29,Psychic,N/A,Musharna,487,5,81
50,55,50,36,30,43,Normal,Flying,Pidove,264,5,45
62,77,62,50,42,65,Normal,Flying,Tranquill,358,5,63
80,115,80,65,55,93,Normal,Flying,Unfezant,488,5,90
45,60,32,50,32,76,Electric,N/A,Blitzle,295,5,55
75,100,63,80,63,116,Electric,N/A,Zebstrika,497,5,90
55,75,85,25,25,15,Rock,N/A,Roggenrola,280,5,50
70,105,105,50,40,20,Rock,N/A,Boldore,390,5,77
85,135,130,60,80,25,Rock,N/A,Gigalith,515,5,97
65,45,43,55,43,72,Psychic,Flying,Woobat,323,5,50
67,57,55,77,55,114,Psychic,Flying,Swoobat,425,5,67
60,85,40,30,45,68,Ground,N/A,Drilbur,328,5,57
110,135,60,50,65,88,Ground,Steel,Excadrill,508,5,92
103,60,86,60,86,50,Normal,N/A,Audino,445,5,60
75,80,55,25,35,35,Fighting,N/A,Timburr,305,5,52
85,105,85,40,50,40,Fighting,N/A,Gurdurr,405,5,72
105,140,95,55,65,45,Fighting,N/A,Conkeldurr,505,5,97
50,50,40,50,40,64,Water,N/A,Tympole,294,5,50
75,65,55,65,55,69,Water,Ground,Palpitoad,384,5,65
105,95,75,85,75,74,Water,Ground,Seismitoad,509,5,90
120,100,85,30,85,45,Fighting,N/A,Throh,465,5,65
75,125,75,30,75,85,Fighting,N/A,Sawk,465,5,77
45,53,70,40,60,42,Bug,Grass,Sewaddle,310,5,46
55,63,90,50,80,42,Bug,Grass,Swadloon,380,5,56
75,103,80,70,80,92,Bug,Grass,Leavanny,500,5,86
30,45,59,30,39,57,Bug,Poison,Venipede,260,5,37
40,55,99,40,79,47,Bug,Poison,Whirlipede,360,5,47
60,100,89,55,69,112,Bug,Poison,Scolipede,485,5,77
40,27,60,37,50,66,Grass,Fairy,Cottonee,280,5,32
60,67,85,77,75,116,Grass,Fairy,Whimsicott,480,5,72
45,35,50,70,50,30,Grass,N/A,Petilil,280,5,52
70,60,75,110,75,90,Grass,N/A,Lilligant,480,5,85
70,92,65,80,55,98,Water,N/A,Basculin-Red-Striped,460,5,86
50,72,35,35,35,65,Ground,Dark,Sandile,292,5,53
60,82,45,45,45,74,Ground,Dark,Krokorok,351,5,63
95,117,80,65,70,92,Ground,Dark,Krookodile,519,5,91
70,90,45,15,45,50,Fire,N/A,Darumaka,315,5,52
105,140,55,30,55,95,Fire,N/A,Darmanitan-Standard,480,5,85
75,86,67,106,67,60,Grass,N/A,Maractus,461,5,96
50,65,85,35,35,55,Bug,Rock,Dwebble,325,5,50
70,105,125,65,75,45,Bug,Rock,Crustle,485,5,85
50,75,70,35,70,48,Dark,Fighting,Scraggy,348,5,55
65,90,115,45,115,58,Dark,Fighting,Scrafty,488,5,67
72,58,80,103,80,97,Psychic,Flying,Sigilyph,490,5,80
38,30,85,55,65,30,Ghost,N/A,Yamask,303,5,42
58,50,145,95,105,30,Ghost,N/A,Cofagrigus,483,5,72
54,78,103,53,45,22,Water,Rock,Tirtouga,355,5,65
74,108,133,83,65,32,Water,Rock,Carracosta,495,5,95
55,112,45,74,45,70,Rock,Flying,Archen,401,5,93
75,140,65,112,65,110,Rock,Flying,Archeops,567,5,126
50,50,62,40,62,65,Poison,N/A,Trubbish,329,5,45
80,95,82,60,82,75,Poison,N/A,Garbodor,474,5,77
40,65,40,80,40,65,Dark,N/A,Zorua,330,5,72
60,105,60,120,60,105,Dark,N/A,Zoroark,510,5,112
55,50,40,40,40,75,Normal,N/A,Minccino,300,5,45
75,95,60,65,60,115,Normal,N/A,Cinccino,470,5,80
45,30,50,55,65,45,Psychic,N/A,Gothita,290,5,42
60,45,70,75,85,55,Psychic,N/A,Gothorita,390,5,60
70,55,95,95,110,65,Psychic,N/A,Gothitelle,490,5,75
45,30,40,105,50,20,Psychic,N/A,Solosis,290,5,67
65,40,50,125,60,30,Psychic,N/A,Duosion,370,5,82
110,65,75,125,85,30,Psychic,N/A,Reuniclus,490,5,95
62,44,50,44,50,55,Water,Flying,Ducklett,305,5,44
75,87,63,87,63,98,Water,Flying,Swanna,473,5,87
36,50,50,65,60,44,Ice,N/A,Vanillite,305,5,57
51,65,65,80,75,59,Ice,N/A,Vanillish,395,5,72
71,95,85,110,95,79,Ice,N/A,Vanilluxe,535,5,102
60,60,50,40,50,75,Normal,Grass,Deerling,335,5,50
80,100,70,60,70,95,Normal,Grass,Sawsbuck,475,5,80
55,75,60,75,60,103,Electric,Flying,Emolga,428,5,75
50,75,45,40,45,60,Bug,N/A,Karrablast,315,5,57
70,135,105,60,105,20,Bug,Steel,Escavalier,495,5,97
69,55,45,55,55,15,Grass,Poison,Foongus,294,5,55
114,85,70,85,80,30,Grass,Poison,Amoonguss,464,5,85
55,40,50,65,85,40,Water,Ghost,Frillish,335,5,52
100,60,70,85,105,60,Water,Ghost,Jellicent,480,5,72
165,75,80,40,45,65,Water,N/A,Alomomola,470,5,57
50,47,50,57,50,65,Bug,Electric,Joltik,319,5,52
70,77,60,97,60,108,Bug,Electric,Galvantula,472,5,87
44,50,91,24,86,10,Grass,Steel,Ferroseed,305,5,37
74,94,131,54,116,20,Grass,Steel,Ferrothorn,489,5,74
40,55,70,45,60,30,Steel,N/A,Klink,300,5,50
60,80,95,70,85,50,Steel,N/A,Klang,440,5,75
60,100,115,70,85,90,Steel,N/A,Klinklang,520,5,85
35,55,40,45,40,60,Electric,N/A,Tynamo,275,5,50
65,85,70,75,70,40,Electric,N/A,Eelektrik,405,5,80
85,115,80,105,80,50,Electric,N/A,Eelektross,515,5,110
55,55,55,85,55,30,Psychic,N/A,Elgyem,335,5,70
75,75,75,125,95,40,Psychic,N/A,Beheeyem,485,5,100
50,30,55,65,55,20,Ghost,Fire,Litwick,275,5,47
60,40,60,95,60,55,Ghost,Fire,Lampent,370,5,67
60,55,90,145,90,80,Ghost,Fire,Chandelure,520,5,100
46,87,60,30,40,57,Dragon,N/A,Axew,320,5,58
66,117,70,40,50,67,Dragon,N/A,Fraxure,410,5,78
76,147,90,60,70,97,Dragon,N/A,Haxorus,540,5,103
55,70,40,60,40,40,Ice,N/A,Cubchoo,305,5,65
95,130,80,70,80,50,Ice,N/A,Beartic,505,5,100
80,50,50,95,135,105,Ice,N/A,Cryogonal,515,5,72
50,40,85,40,65,25,Bug,N/A,Shelmet,305,5,40
80,70,40,100,60,145,Bug,N/A,Accelgor,495,5,85
109,66,84,81,99,32,Ground,Electric,Stunfisk,471,5,73
45,85,50,55,50,65,Fighting,N/A,Mienfoo,350,5,70
65,125,60,95,60,105,Fighting,N/A,Mienshao,510,5,110
77,120,90,60,90,48,Dragon,N/A,Druddigon,485,5,90
59,74,50,35,50,35,Ground,Ghost,Golett,303,5,54
89,124,80,55,80,55,Ground,Ghost,Golurk,483,5,89
45,85,70,40,40,60,Dark,Steel,Pawniard,340,5,62
65,125,100,60,70,70,Dark,Steel,Bisharp,490,5,92
95,110,95,40,95,55,Normal,N/A,Bouffalant,490,5,75
70,83,50,37,50,60,Normal,Flying,Rufflet,350,5,60
100,123,75,57,75,80,Normal,Flying,Braviary,510,5,90
70,55,75,45,65,60,Dark,Flying,Vullaby,370,5,50
110,65,105,55,95,80,Dark,Flying,Mandibuzz,510,5,60
85,97,66,105,66,65,Fire,N/A,Heatmor,484,5,101
58,109,112,48,48,109,Bug,Steel,Durant,484,5,78
52,65,50,45,50,38,Dark,Dragon,Deino,300,5,55
72,85,70,65,70,58,Dark,Dragon,Zweilous,420,5,75
92,105,90,125,90,98,Dark,Dragon,Hydreigon,600,5,115
55,85,55,50,55,60,Bug,Fire,Larvesta,360,5,67
85,60,65,135,105,100,Bug,Fire,Volcarona,550,5,97
91,90,129,90,72,108,Steel,Fighting,Cobalion,580,5,90
91,129,90,72,90,108,Rock,Fighting,Terrakion,580,5,100
91,90,72,90,129,108,Grass,Fighting,Virizion,580,5,90
79,115,70,125,80,111,Flying,N/A,Tornadus-Incarnate,580,5,120
79,115,70,125,80,111,Electric,Flying,Thundurus-Incarnate,580,5,120
100,120,100,150,120,90,Dragon,Fire,Reshiram,680,5,135
100,150,120,120,100,90,Dragon,Electric,Zekrom,680,5,135
89,125,90,115,80,101,Ground,Flying,Landorus-Incarnate,600,5,120
125,130,90,130,90,95,Dragon,Ice,Kyurem,660,5,130
91,72,90,129,90,108,Water,Fighting,Keldeo-Ordinary,580,5,100
100,77,77,128,128,90,Normal,Psychic,Meloetta-Aria,600,5,102
71,120,95,120,95,99,Bug,Steel,Genesect,600,5,120
56,61,65,48,45,38,Grass,N/A,Chespin,313,6,54
61,78,95,56,58,57,Grass,N/A,Quilladin,405,6,67
88,107,122,74,75,64,Grass,Fighting,Chesnaught,530,6,90
40,45,40,62,60,60,Fire,N/A,Fennekin,307,6,53
59,59,58,90,70,73,Fire,N/A,Braixen,409,6,74
75,69,72,114,100,104,Fire,Psychic,Delphox,534,6,91
41,56,40,62,44,71,Water,N/A,Froakie,314,6,59
54,63,52,83,56,97,Water,N/A,Frogadier,405,6,73
72,95,67,103,71,122,Water,Dark,Greninja,530,6,99
38,36,38,32,36,57,Normal,N/A,Bunnelby,237,6,34
85,56,77,50,77,78,Normal,Ground,Diggersby,423,6,53
45,50,43,40,38,62,Normal,Flying,Fletchling,278,6,45
62,73,55,56,52,84,Fire,Flying,Fletchinder,382,6,64
78,81,71,74,69,126,Fire,Flying,Talonflame,499,6,77
38,35,40,27,25,35,Bug,N/A,Scatterbug,200,6,31
45,22,60,27,30,29,Bug,N/A,Spewpa,213,6,24
80,52,50,90,50,89,Bug,Flying,Vivillon,411,6,71
62,50,58,73,54,72,Fire,Normal,Litleo,369,6,61
86,68,72,109,66,106,Fire,Normal,Pyroar,507,6,88
44,38,39,61,79,42,Fairy,N/A,Flabebe,303,6,49
54,45,47,75,98,52,Fairy,N/A,Floette,371,6,60
78,65,68,112,154,75,Fairy,N/A,Florges,552,6,88
66,65,48,62,57,52,Grass,N/A,Skiddo,350,6,63
123,100,62,97,81,68,Grass,N/A,Gogoat,531,6,98
67,82,62,46,48,43,Fighting,N/A,Pancham,348,6,64
95,124,78,69,71,58,Fighting,Dark,Pangoro,495,6,96
75,80,60,65,90,102,Normal,N/A,Furfrou,472,6,72
62,48,54,63,60,68,Psychic,N/A,Espurr,355,6,55
74,48,76,83,81,104,Psychic,N/A,Meowstic-Male,466,6,65
45,80,100,35,37,28,Steel,Ghost,Honedge,325,6,57
59,110,150,45,49,35,Steel,Ghost,Doublade,448,6,77
60,50,140,50,140,60,Steel,Ghost,Aegislash-Shield,500,6,50
78,52,60,63,65,23,Fairy,N/A,Spritzee,341,6,57
101,72,72,99,89,29,Fairy,N/A,Aromatisse,462,6,85
62,48,66,59,57,49,Fairy,N/A,Swirlix,341,6,53
82,80,86,85,75,72,Fairy,N/A,Slurpuff,480,6,82
53,54,53,37,46,45,Dark,Psychic,Inkay,288,6,45
86,92,88,68,75,73,Dark,Psychic,Malamar,482,6,80
42,52,67,39,56,50,Rock,Water,Binacle,306,6,45
72,105,115,54,86,68,Rock,Water,Barbaracle,500,6,79
50,60,60,60,60,30,Poison,Water,Skrelp,320,6,60
65,75,90,97,123,44,Poison,Dragon,Dragalge,494,6,86
50,53,62,58,63,44,Water,N/A,Clauncher,330,6,55
71,73,88,120,89,59,Water,N/A,Clawitzer,500,6,96
44,38,33,61,43,70,Electric,Normal,Helioptile,289,6,49
62,55,52,109,94,109,Electric,Normal,Heliolisk,481,6,82
58,89,77,45,45,48,Rock,Dragon,Tyrunt,362,6,67
82,121,119,69,59,71,Rock,Dragon,Tyrantrum,521,6,95
77,59,50,67,63,46,Rock,Ice,Amaura,362,6,63
123,77,72,99,92,58,Rock,Ice,Aurorus,521,6,88
95,65,65,110,130,60,Fairy,N/A,Sylveon,525,6,87
78,92,75,74,63,118,Fighting,Flying,Hawlucha,500,6,83
67,58,57,81,67,101,Electric,Fairy,Dedenne,431,6,69
50,50,150,50,150,50,Rock,Fairy,Carbink,500,6,50
45,50,35,55,75,40,Dragon,N/A,Goomy,300,6,52
68,75,53,83,113,60,Dragon,N/A,Sliggoo,452,6,79
90,100,70,110,150,80,Dragon,N/A,Goodra,600,6,105
57,80,91,80,87,75,Steel,Fairy,Klefki,470,6,80
43,70,48,50,60,38,Ghost,Grass,Phantump,309,6,60
85,110,76,65,82,56,Ghost,Grass,Trevenant,474,6,87
49,66,70,44,55,51,Ghost,Grass,Pumpkaboo-Average,335,6,55
65,90,122,58,75,84,Ghost,Grass,Gourgeist-Average,494,6,74
55,69,85,32,35,28,Ice,N/A,Bergmite,304,6,50
95,117,184,44,46,28,Ice,N/A,Avalugg,514,6,80
40,30,35,45,40,55,Flying,Dragon,Noibat,245,6,37
85,70,80,97,80,123,Flying,Dragon,Noivern,535,6,83
126,131,95,131,98,99,Fairy,N/A,Xerneas,680,6,131
126,131,95,131,98,99,Dark,Flying,Yveltal,680,6,131
108,100,121,81,95,95,Dragon,Ground,Zygarde-50,600,6,90
50,100,150,100,150,50,Rock,Fairy,Diancie,600,6,100
80,110,60,150,130,70,Psychic,Ghost,Hoopa,600,6,130
80,110,120,130,90,70,Fire,Water,Volcanion,600,6,120
68,55,55,50,50,42,Grass,Flying,Rowlet,320,7,52
78,75,75,70,70,52,Grass,Flying,Dartrix,420,7,72
78,107,75,100,100,70,Grass,Ghost,Decidueye,530,7,103
45,65,40,60,40,70,Fire,N/A,Litten,320,7,62
65,85,50,80,50,90,Fire,N/A,Torracat,420,7,82
95,115,90,80,90,60,Fire,Dark,Incineroar,530,7,97
50,54,54,66,56,40,Water,N/A,Popplio,320,7,60
60,69,69,91,81,50,Water,N/A,Brionne,420,7,80
80,74,74,126,116,60,Water,Fairy,Primarina,530,7,100
35,75,30,30,30,65,Normal,Flying,Pikipek,265,7,52
55,85,50,40,50,75,Normal,Flying,Trumbeak,355,7,62
80,120,75,75,75,60,Normal,Flying,Toucannon,485,7,97
48,70,30,30,30,45,Normal,N/A,Yungoos,253,7,50
88,110,60,55,60,45,Normal,N/A,Gumshoos,418,7,82
47,62,45,55,45,46,Bug,N/A,Grubbin,300,7,58
57,82,95,55,75,36,Bug,Electric,Charjabug,400,7,68
77,70,90,145,75,43,Bug,Electric,Vikavolt,500,7,107
47,82,57,42,47,63,Fighting,N/A,Crabrawler,338,7,62
97,132,77,62,67,43,Fighting,Ice,Crabominable,478,7,97
75,70,70,98,70,93,Fire,Flying,Oricorio-Baile,476,7,84
40,45,40,55,40,84,Bug,Fairy,Cutiefly,304,7,50
60,55,60,95,70,124,Bug,Fairy,Ribombee,464,7,75
45,65,40,30,40,60,Rock,N/A,Rockruff,280,7,47
75,115,65,55,65,112,Rock,N/A,Lycanroc-Midday,487,7,85
45,20,20,25,25,40,Water,N/A,Wishiwashi-Solo,175,7,22
50,53,62,43,52,45,Poison,Water,Mareanie,305,7,48
50,63,152,53,142,35,Poison,Water,Toxapex,495,7,58
70,100,70,45,55,45,Ground,N/A,Mudbray,385,7,72
100,125,100,55,85,35,Ground,N/A,Mudsdale,500,7,90
38,40,52,40,72,27,Water,Bug,Dewpider,269,7,40
68,70,92,50,132,42,Water,Bug,Araquanid,454,7,60
40,55,35,50,35,35,Grass,N/A,Fomantis,250,7,52
70,105,90,80,90,45,Grass,N/A,Lurantis,480,7,92
40,35,55,65,75,15,Grass,Fairy,Morelull,285,7,50
60,45,80,90,100,30,Grass,Fairy,Shiinotic,405,7,67
48,44,40,71,40,77,Poison,Fire,Salandit,320,7,57
68,64,60,111,60,117,Poison,Fire,Salazzle,480,7,87
70,75,50,45,50,50,Normal,Fighting,Stufful,340,7,60
120,125,80,55,60,60,Normal,Fighting,Bewear,500,7,90
42,30,38,30,38,32,Grass,N/A,Bounsweet,210,7,30
52,40,48,40,48,62,Grass,N/A,Steenee,290,7,40
72,120,98,50,98,72,Grass,N/A,Tsareena,510,7,85
51,52,90,82,110,100,Fairy,N/A,Comfey,485,7,67
90,60,80,90,110,60,Normal,Psychic,Oranguru,490,7,75
100,120,90,40,60,80,Fighting,N/A,Passimian,490,7,80
25,35,40,20,30,80,Bug,Water,Wimpod,230,7,27
75,125,140,60,90,40,Bug,Water,Golisopod,530,7,92
55,55,80,70,45,15,Ghost,Ground,Sandygast,320,7,62
85,75,110,100,75,35,Ghost,Ground,Palossand,480,7,87
55,60,130,30,130,5,Water,N/A,Pyukumuku,410,7,45
95,95,95,95,95,59,Normal,N/A,Type-Null,534,7,95
95,95,95,95,95,95,Normal,N/A,Silvally,570,7,95
60,60,100,60,100,60,Rock,Flying,Minior-Red-Meteor,440,7,60
65,115,65,75,95,65,Normal,N/A,Komala,480,7,95
60,78,135,91,85,36,Fire,Dragon,Turtonator,485,7,84
65,98,63,40,73,96,Electric,Steel,Togedemaru,435,7,69
55,90,80,50,105,96,Ghost,Fairy,Mimikyu-Disguised,476,7,70
68,105,70,70,70,92,Water,Psychic,Bruxish,475,7,87
78,60,85,135,91,36,Normal,Dragon,Drampa,485,7,97
70,131,100,86,90,40,Ghost,Grass,Dhelmise,517,7,108
45,55,65,45,45,45,Dragon,N/A,Jangmo-O,300,7,50
55,75,90,65,70,65,Dragon,Fighting,Hakamo-O,420,7,70
75,110,125,100,105,85,Dragon,Fighting,Kommo-O,600,7,105
70,115,85,95,75,130,Electric,Fairy,Tapu-Koko,570,7,105
70,85,75,130,115,95,Psychic,Fairy,Tapu-Lele,570,7,107
70,130,115,85,95,75,Grass,Fairy,Tapu-Bulu,570,7,107
70,75,115,95,130,85,Water,Fairy,Tapu-Fini,570,7,85
43,29,31,29,31,37,Psychic,N/A,Cosmog,200,7,29
43,29,131,29,131,37,Psychic,N/A,Cosmoem,400,7,29
137,137,107,113,89,97,Psychic,Steel,Solgaleo,680,7,125
137,113,89,137,107,97,Psychic,Ghost,Lunala,680,7,125
109,53,47,127,131,103,Rock,Poison,Nihilego,570,7,90
107,139,139,53,53,79,Bug,Fighting,Buzzwole,570,7,96
71,137,37,137,37,151,Bug,Fighting,Pheromosa,570,7,137
83,89,71,173,71,83,Electric,N/A,Xurkitree,570,7,131
97,101,103,107,101,61,Steel,Flying,Celesteela,570,7,104
59,181,131,59,31,109,Grass,Steel,Kartana,570,7,120
223,101,53,97,53,43,Dark,Dragon,Guzzlord,570,7,99
97,107,101,127,89,79,Psychic,N/A,Necrozma,600,7,117
80,95,115,130,115,65,Steel,Fairy,Magearna,600,7,112
90,125,80,90,90,125,Fighting,Ghost,Marshadow,600,7,107
67,73,67,73,67,73,Poison,N/A,Poipole,420,7,73
73,73,73,127,73,121,Poison,Dragon,Naganadel,540,7,100
61,131,211,53,101,13,Rock,Steel,Stakataka,570,7,92
53,127,53,151,79,107,Fire,Ghost,Blacephalon,570,7,139
88,112,75,102,80,143,Electric,N/A,Zeraora,600,7,107
46,65,65,55,35,34,Steel,N/A,Meltan,300,7,60
135,143,143,80,65,34,Steel,N/A,Melmetal,600,7,111
50,65,50,40,40,65,Grass,N/A,Grookey,310,8,52
70,85,70,55,60,80,Grass,N/A,Thwackey,420,8,70
100,125,90,60,70,85,Grass,N/A,Rillaboom,530,8,92
50,71,40,40,40,69,Fire,N/A,Scorbunny,310,8,55
65,86,60,55,60,94,Fire,N/A,Raboot,420,8,70
80,116,75,65,75,119,Fire,N/A,Cinderace,530,8,90
50,40,40,70,40,70,Water,N/A,Sobble,310,8,55
65,60,55,95,55,90,Water,N/A,Drizzile,420,8,77
70,85,65,125,65,120,Water,N/A,Inteleon,530,8,105
70,55,55,35,35,25,Normal,N/A,Skwovet,275,8,45
120,95,95,55,75,20,Normal,N/A,Greedent,460,8,75
38,47,35,33,35,57,Flying,N/A,Rookidee,245,8,40
68,67,55,43,55,77,Flying,N/A,Corvisquire,365,8,55
98,87,105,53,85,67,Flying,Steel,Corviknight,495,8,70
25,20,20,25,45,45,Bug,N/A,Blipbug,180,8,22
50,35,80,50,90,30,Bug,Psychic,Dottler,335,8,42
60,45,110,80,120,90,Bug,Psychic,Orbeetle,505,8,62
40,28,28,47,52,50,Dark,N/A,Nickit,245,8,37
70,58,58,87,92,90,Dark,N/A,Thievul,455,8,72
40,40,60,40,60,10,Grass,N/A,Gossifleur,250,8,40
60,50,90,80,120,60,Grass,N/A,Eldegoss,460,8,65
42,40,55,40,45,48,Normal,N/A,Wooloo,270,8,40
72,80,100,60,90,88,Normal,N/A,Dubwool,490,8,70
50,64,50,38,38,44,Water,N/A,Chewtle,284,8,51
90,115,90,48,68,74,Water,Rock,Drednaw,485,8,81
59,45,50,40,50,26,Electric,N/A,Yamper,270,8,42
69,90,60,90,60,121,Electric,N/A,Boltund,490,8,90
30,40,50,40,50,30,Rock,N/A,Rolycoly,240,8,40
80,60,90,60,70,50,Rock,Fire,Carkol,410,8,60
110,80,120,80,90,30,Rock,Fire,Coalossal,510,8,80
40,40,80,40,40,20,Grass,Dragon,Applin,260,8,40
70,110,80,95,60,70,Grass,Dragon,Flapple,485,8,102
110,85,80,100,80,30,Grass,Dragon,Appletun,485,8,92
52,57,75,35,50,46,Ground,N/A,Silicobra,315,8,46
72,107,125,65,70,71,Ground,N/A,Sandaconda,510,8,86
70,85,55,85,95,85,Flying,Water,Cramorant,475,8,85
41,63,40,40,30,66,Water,N/A,Arrokuda,280,8,51
61,123,60,60,50,136,Water,N/A,Barraskewda,490,8,91
40,38,35,54,35,40,Electric,Poison,Toxel,242,8,46
75,98,70,114,70,75,Electric,Poison,Toxtricity-Amped,502,8,106
50,65,45,50,50,45,Fire,Bug,Sizzlipede,305,8,57
100,115,65,90,90,65,Fire,Bug,Centiskorch,525,8,102
50,68,60,50,50,32,Fighting,N/A,Clobbopus,310,8,59
80,118,90,70,80,42,Fighting,N/A,Grapploct,480,8,94
40,45,45,74,54,50,Ghost,N/A,Sinistea,308,8,59
60,65,65,134,114,70,Ghost,N/A,Polteageist,508,8,99
42,30,45,56,53,39,Psychic,N/A,Hatenna,265,8,43
57,40,65,86,73,49,Psychic,N/A,Hattrem,370,8,63
57,90,95,136,103,29,Psychic,Fairy,Hatterene,510,8,113
45,45,30,55,40,50,Dark,Fairy,Impidimp,265,8,50
65,60,45,75,55,70,Dark,Fairy,Morgrem,370,8,67
95,120,65,95,75,60,Dark,Fairy,Grimmsnarl,510,8,107
93,90,101,60,81,95,Dark,Normal,Obstagoon,520,8,75
70,110,100,50,60,50,Steel,N/A,Perrserker,440,8,80
60,95,50,145,130,30,Ghost,N/A,Cursola,510,8,120
62,135,95,68,82,65,Fighting,N/A,Sirfetchd,507,8,101
80,85,75,110,100,70,Ice,Psychic,Mr-Rime,520,8,97
58,95,145,50,105,30,Ground,Ghost,Runerigus,483,8,72
45,40,40,50,61,34,Fairy,N/A,Milcery,270,8,45
